2025/09/03 09:44:56.378210 REQUEST: method=POST, url=/auth/login, remote=172.21.0.5:54388, content-type=application/json
2025/09/03 09:44:56.378318 loginHandler: method=POST, url=/auth/login
2025/09/03 09:44:56.378342 loginHandler POST body: email=, password=
2025/09/03 14:39:03.336237 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:57582, content-type= body=
2025/09/03 14:39:03.388569 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:57584, content-type= body=
2025/09/03 14:39:06.321134 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:57584, content-type= body=
2025/09/03 14:39:06.321134 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:57582, content-type= body=
2025/09/03 15:15:31.004459 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:15:31.005610 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:15:31.059041 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:52220, content-type= body=
2025/09/03 15:16:46.458581 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:16:46.460249 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:16:46.523553 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:52220, content-type= body=
2025/09/03 15:18:18.258563 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:18:18.260321 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:18:18.311492 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:52220, content-type= body=
2025/09/03 15:19:08.393999 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:19:08.395567 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:19:08.448009 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:52220, content-type= body=
2025/09/03 15:19:15.460896 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:19:15.462057 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:52212, content-type= body=
2025/09/03 15:19:15.513704 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:52220, content-type= body=
2025/09/03 15:53:57.278569 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:46496, content-type= body=
2025/09/03 15:53:57.282826 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:46496, content-type= body=
2025/09/03 15:53:57.334211 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:46500, content-type= body=
2025/09/03 15:58:37.198358 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:57604, content-type= body=
2025/09/03 15:58:37.199831 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:57604, content-type= body=
2025/09/03 16:00:45.407985 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:44476, content-type= body=
2025/09/03 16:00:45.409142 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:44476, content-type= body=
2025/09/03 16:00:45.460911 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:44492, content-type= body=
2025/09/03 17:41:48.513579 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:36204, content-type= body=
2025/09/03 17:41:48.519157 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:36204, content-type= body=
2025/09/03 17:41:48.543794 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:36206, content-type= body=
2025/09/03 17:42:22.596268 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:36204, content-type= body=
2025/09/03 17:42:22.598066 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:36204, content-type= body=
2025/09/03 17:42:22.629627 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:36206, content-type= body=
2025/09/03 17:48:48.339323 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.342367 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.355287 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.364405 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.371138 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.374761 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.377418 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.379742 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.382478 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.385160 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.387260 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.389628 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:48.392030 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:53.626475 REQUEST: method=POST, url=/auth/login, remote=172.21.0.5:43684, content-type=application/json body={"email":"oleg3@gmail.com","password":"oleg3@gmail.com"}
2025/09/03 17:48:53.626539 loginHandler: method=POST, url=/auth/login
2025/09/03 17:48:53.694853 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:43684, content-type= body=
2025/09/03 17:48:53.717973 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:54718, content-type= body=
2025/09/03 18:04:42.718305 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:34600, content-type= body=
2025/09/03 18:04:42.720726 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:34600, content-type= body=
2025/09/03 18:04:42.747212 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:34608, content-type= body=
2025/09/03 18:05:56.164548 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:34600, content-type= body=
2025/09/03 18:05:56.166267 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:34600, content-type= body=
2025/09/03 18:05:56.196910 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:34608, content-type= body=
2025/09/03 18:34:49.291859 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:58854, content-type= body=
2025/09/03 18:34:49.293781 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:58854, content-type= body=
2025/09/03 18:34:49.360084 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:58868, content-type= body=
2025/09/03 18:37:40.613911 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:36466, content-type= body=
2025/09/03 18:37:40.615118 REQUEST: method=GET, url=/auth/user, remote=172.21.0.5:36466, content-type= body=
2025/09/03 18:37:40.657447 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.5:36482, content-type= body=
2025/09/04 07:13:19.372333 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.376968 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.382786 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.387322 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.388987 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.390662 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.392352 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.393978 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.395677 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.397363 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.398928 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.400578 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:19.402135 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:25.716260 REQUEST: method=POST, url=/auth/login, remote=172.21.0.3:49604, content-type=application/json body={"email":"oleg3@gmail.com","password":"oleg3@gmail.com"}
2025/09/04 07:13:25.716544 loginHandler: method=POST, url=/auth/login
2025/09/04 07:13:25.811268 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:49604, content-type= body=
2025/09/04 07:13:25.832250 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:49614, content-type= body=
2025/09/04 07:16:06.241788 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:41846, content-type= body=
2025/09/04 07:16:06.243074 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:41846, content-type= body=
2025/09/04 07:16:06.261946 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:41852, content-type= body=
2025/09/04 07:16:07.021736 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:41846, content-type= body=
2025/09/04 07:16:07.022776 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:41846, content-type= body=
2025/09/04 07:16:07.060958 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:41852, content-type= body=
2025/09/04 07:27:01.873173 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:39774, content-type= body=
2025/09/04 07:27:01.875864 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:39774, content-type= body=
2025/09/04 07:27:01.900547 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:39782, content-type= body=
2025/09/04 07:27:08.510089 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:39774, content-type= body=
2025/09/04 07:27:08.510957 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:39774, content-type= body=
2025/09/04 07:27:08.523926 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:39782, content-type= body=
2025/09/04 07:30:02.905553 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:46776, content-type= body=
2025/09/04 07:30:02.906460 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:46776, content-type= body=
2025/09/04 07:30:10.454379 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:46732, content-type= body=
2025/09/04 07:30:13.765684 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:46732, content-type= body=
2025/09/04 07:30:36.687146 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:46776, content-type= body=
2025/09/04 07:30:36.687958 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:46776, content-type= body=
2025/09/04 07:33:53.052410 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:55434, content-type= body=
2025/09/04 07:33:53.054578 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:55434, content-type= body=
2025/09/04 07:34:02.252023 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:55434, content-type= body=
2025/09/04 07:34:02.253567 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:55434, content-type= body=
2025/09/04 08:01:29.320550 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:01:29.321733 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:01:31.651096 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:01:31.653430 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:01:46.719900 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:01:46.722467 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:03:19.974455 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:03:19.976742 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:03:23.898195 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:03:23.900424 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:45590, content-type= body=
2025/09/04 08:13:30.464272 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50824, content-type= body=
2025/09/04 08:13:30.470626 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:50824, content-type= body=
2025/09/04 08:23:24.392442 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:57726, content-type= body=
2025/09/04 08:23:24.393756 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:57726, content-type= body=
2025/09/04 08:23:53.938959 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:57726, content-type= body=
2025/09/04 08:23:53.940521 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:57726, content-type= body=
2025/09/04 08:24:04.134966 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:57726, content-type= body=
2025/09/04 08:24:04.137917 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:57726, content-type= body=
2025/09/04 09:02:23.799373 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:02:23.805429 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:02:27.627761 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:02:27.629610 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:03:46.425696 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:03:46.427917 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:04:38.192838 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:04:38.194057 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:04:48.222580 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:04:48.224274 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:06:10.602589 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:06:10.604945 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:44850, content-type= body=
2025/09/04 09:08:19.050092 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:55674, content-type= body=
2025/09/04 09:08:19.051941 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:55674, content-type= body=
2025/09/04 09:10:51.296583 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:37752, content-type= body=
2025/09/04 09:10:51.298021 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:37752, content-type= body=
2025/09/04 09:11:43.138309 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:37752, content-type= body=
2025/09/04 09:11:43.139967 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:37752, content-type= body=
2025/09/04 09:22:57.861799 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:23:00.417396 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:23:00.418577 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:23:26.485415 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:23:26.486537 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:25:17.797328 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:25:22.059277 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:25:22.060927 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:25:46.094099 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:25:46.095049 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:54562, content-type= body=
2025/09/04 09:25:53.837786 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:60496, content-type= body=
2025/09/04 09:28:43.566453 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:28:43.567808 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:29:15.911593 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:29:15.913824 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:29:55.418545 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:29:57.638736 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:29:57.640007 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:31:04.611643 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:33:01.196477 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:33:01.198820 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:33:06.941985 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:33:06.943898 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:33:12.034189 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:33:12.034661 REQUEST: method=GET, url=/api/mindmaps, remote=172.21.0.3:42460, content-type= body=
2025/09/04 09:33:16.862983 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:33:16.864388 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:34:34.535095 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:34:34.536409 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:36:18.953663 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
2025/09/04 09:36:20.792949 REQUEST: method=GET, url=/auth/user, remote=172.21.0.3:34776, content-type= body=
